title,description,url,category,department,province,district,company
SUPERVISOR DE PLANEAMIENTO DE EQUIPOS (Zona Centro),descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-SUPERVISOR-DE-PLANEAMIENTO-DE-EQUIPOS-%28Zona-Centro%29/636390819/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
RESPONSABLE DE ALMACEN DE IMPORTACIONES,descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-RESPONSABLE-DE-ALMACEN-DE-IMPORTACIONES/636294019/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
SUPERVISOR DE TUBERIAS,descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-SUPERVISOR-DE-TUBERIAS/636261619/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
INSPECTOR DE CALIDAD,descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-INSPECTOR-DE-CALIDAD/636256719/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
PROYECTISTA - ELECTRICIDAD,descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-PROYECTISTA-ELECTRICIDAD/636241119/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
ADMINISTRADOR CONTRACTUAL,descripcion_html,https://unete.cosapi.com.pe/job/COSAPI-%28P001%29-ADMINISTRADOR-CONTRACTUAL/636095219/,85,Apurímac,"Cotabambas, Grau","Challhuahuacho, Tambobamb, Coyllurqui, Progreso",Las Bambas
